scientificName,decimalLongitude,decimalLatitude
Phoca vitulina,11.03203,58.82411
Phoca vitulina,-122.913772,47.111823
Phoca vitulina,11.18864,58.54697
Phoca vitulina,11.05232,58.54535
Phoca vitulina,11.91827,57.38934
Phoca vitulina,-68.898933,43.8221
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,11.03096,58.58912
Phoca vitulina,-122.817744,47.717432
Phoca vitulina,-122.8263,47.343706
Phoca vitulina,-122.910247,47.642067
Phoca vitulina,-2.467,56.583
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,-68.861283,44.217233
Phoca vitulina,-68.746117,44.247783
Phoca vitulina,11.93785,57.36055
Phoca vitulina,-122.671576,48.041566
Phoca vitulina,3.1245,51.317202
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,16.11821,56.41163
Phoca vitulina,10.96929,58.92145
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.810075,47.178879
Phoca vitulina,11.34705,58.08133
Phoca vitulina,12.11821,57.19236
Phoca vitulina,10.95816,58.92966
Phoca vitulina,-67.406983,44.570633
Phoca vitulina,-69.586515,43.770988
Phoca vitulina,-69.95114,43.80256
Phoca vitulina,-71.4,41.450278
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,11.05793,58.54284
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,3.1245,51.317202
Phoca vitulina,11.93687,57.3672
Phoca vitulina,-68.087,44.102
Phoca vitulina,-124.12667,44.03833
Phoca vitulina,-122.503783,48.298751
Phoca vitulina,2.20667,50.94124
Phoca vitulina,11.03496,58.78823
Phoca vitulina,-59.3832,47.3347
Phoca vitulina,-67.143335,44.823527
Phoca vitulina,1.5169,50.2029
Phoca vitulina,-68.714185,44.267167
Phoca vitulina,11.34348,58.08479
Phoca vitulina,2.0369,50.9986
Phoca vitulina,-122.795797,47.34344
Phoca vitulina,-69.01,43.899
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.90191,57.38888
Phoca vitulina,10.99241,58.75795
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,11.59627,57.81634
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.63775,57.81977
Phoca vitulina,12.05531,57.26777
Phoca vitulina,-67.559708,44.490975
Phoca vitulina,11.05667,58.56836
Phoca vitulina,11.73221,57.50516
Phoca vitulina,-69.3873,43.930317
Phoca vitulina,-66.078419,45.267694
Phoca vitulina,11.94052,57.38686
Phoca vitulina,11.0126,58.83574
Phoca vitulina,11.24199,58.4698
Phoca vitulina,11.02784,58.82193
Phoca vitulina,-68.634773,44.08715
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.97456,43.725167
Phoca vitulina,-67.523665,44.556665
Phoca vitulina,-68.828817,44.14395
Phoca vitulina,-68.957,44.208
Phoca vitulina,-122.650012,47.177463
Phoca vitulina,4.77667,52.9975
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.668631,47.536333
Phoca vitulina,-122.724638,47.31069
Phoca vitulina,-69.123067,43.983633
Phoca vitulina,-68.75,44
Phoca vitulina,2.744354,51.143546
Phoca vitulina,-122.899509,48.083588
Phoca vitulina,-122.653312,47.943807
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-68.59991,44.140633
Phoca vitulina,-69.671297,43.878853
Phoca vitulina,-68.801,44.515
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,-68.808,44.217233
Phoca vitulina,-170.4,57.04583
Phoca vitulina,12.05459,57.26097
Phoca vitulina,11.34192,58.08312
Phoca vitulina,-122.35279,47.874907
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.33615,44.18365
Phoca vitulina,12.35247,56.98495
Phoca vitulina,11.83183,57.44755
Phoca vitulina,11.127,58.82671
Phoca vitulina,11.18864,58.54697
Phoca vitulina,-67.9563,44.335
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,2.892546,51.224631
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.1943,57.14467
Phoca vitulina,-121.8341,36.87864
Phoca vitulina,19.90361,63.30278
Phoca vitulina,16.40218,56.19528
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,1.5169,50.2029
Phoca vitulina,2.88119,51.219059
Phoca vitulina,-122.948364,47.112356
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-67.55417,44.528223
Phoca vitulina,-122.507119,47.841325
Phoca vitulina,-122.680924,47.243125
Phoca vitulina,-70.374577,43.46694
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.085,44.001017
Phoca vitulina,19.90361,63.30278
Phoca vitulina,-122.41119,48.30793
Phoca vitulina,12.1943,57.14467
Phoca vitulina,16.018,56.21141
Phoca vitulina,15.98181,56.1973
Phoca vitulina,11.18773,58.41914
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,11.83094,57.44887
Phoca vitulina,2.914037,51.234701
Phoca vitulina,-68.58422,44.048823
Phoca vitulina,-70.077873,43.738338
Phoca vitulina,10.9769,58.77726
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.05459,57.26096
Phoca vitulina,11.5944,57.84087
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-119.868161,34.406046
Phoca vitulina,10.99504,58.78256
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,12.05081,57.2727
Phoca vitulina,-68.45,44.046
Phoca vitulina,11.01667,58.81969
Phoca vitulina,11.66805,57.87476
Phoca vitulina,-122.42669,47.288613
Phoca vitulina,-68.712703,44.109615
Phoca vitulina,11.87373,57.50688
Phoca vitulina,-68.978033,44.159983
Phoca vitulina,11.02621,58.81816
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.73864,57.53284
Phoca vitulina,-119.875392,34.403153
Phoca vitulina,-68.692822,44.109327
Phoca vitulina,1.9521,50.9894
Phoca vitulina,11.09262,58.54245
Phoca vitulina,-1.5033,48.685
Phoca vitulina,12.16988,57.13969
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.61537,57.8364
Phoca vitulina,-69.58,43.738
Phoca vitulina,-68.731533,44.270833
Phoca vitulina,-1.2516,49.4801
Phoca vitulina,-69.575562,43.79161
Phoca vitulina,11.03942,58.58432
Phoca vitulina,-122.824292,47.179413
Phoca vitulina,-64.91,43.43
Phoca vitulina,10.97932,58.77667
Phoca vitulina,11.03928,58.58686
Phoca vitulina,-68.864,44.399
Phoca vitulina,2.63119,51.122241
Phoca vitulina,-69.395267,43.916133
Phoca vitulina,11.09262,58.54245
